date,country_code,samples,m50,m50_index
3/1/20,US,5705566,5.32,68
3/2/20,US,5970602,7.789,99
3/3/20,US,6100493,7.821,100
3/4/20,US,6274372,7.783,99
3/5/20,US,6023240,8.288,105
3/6/20,US,5925501,9.053,115
3/7/20,US,5922362,7.382,94
3/8/20,US,5887342,5.328,68
3/9/20,US,6107221,7.545,96
3/10/20,US,6021900,7.777,99
3/11/20,US,6028364,7.905,101
3/12/20,US,5967640,7.897,100
3/13/20,US,5813177,7.855,100
3/14/20,US,5625935,5.075,64
3/15/20,US,5512882,3.235,41
3/16/20,US,5535930,5.7,72
3/17/20,US,5739153,4.608,58
3/18/20,US,5581431,3.925,50
3/19/20,US,5504010,3.736,47
3/20/20,US,5113958,4.323,55
3/21/20,US,4473925,1.648,21
3/22/20,US,5032323,0.458,5
3/23/20,US,5454286,2.098,26
3/24/20,US,5612995,1.733,22
3/25/20,US,5423561,1.877,23
3/26/20,US,5552491,1.826,23
3/27/20,US,5517609,2.179,27
3/28/20,US,5473319,0.475,6
3/29/20,US,5654692,0.099,1
3/30/20,US,5665543,1.112,14
3/31/20,US,5653212,1.183,15
4/1/20,US,5639139,1.394,17
4/2/20,US,5570132,1.563,19
4/3/20,US,5494132,1.82,23
4/4/20,US,5352536,0.495,6
4/5/20,US,5516543,0.068,0
4/6/20,US,5363134,1.127,14
4/7/20,US,5457945,1.297,16
4/8/20,US,5463767,1.319,16
4/9/20,US,5439529,1.238,15
4/10/20,US,5142188,2.004,25