,_id,date_collected,population,county_name,state_name,zipcodes,AIAN,NHPI,above_poverty,asian_rate,below_poverty,black_rate,median_age,other_race,white_rate,population_density_people/mi^2,Hispanic_Latino,num_of_hospital,ICUbeds,num_of_beds,population_older_60,State_County
1858,5e842d7ab07be20fa70e0227,7/1/19,1628706,New York County,New York,"['10001', '10002', '10003', '10004', '10005', '10006', '10007', '10008', '10009', '10010', '10011', '10012', '10013', '10014', '10015', '10016', '10017', '10018', '10019', '10020', '10021', '10022', '10023', '10024', '10025', '10026', '10027', '10028', '10029', '10030', '10031', '10032', '10033', '10034', '10035', '10036', '10037', '10038', '10039', '10040', '10041', '10043', '10044', '10045', '10046', '10047', '10048', '10055', '10060', '10065', '10069', '10072', '10075', '10079', '10080', '10081', '10082', '10087', '10090', '10094', '10095', '10096', '10098', '10099', '10101', '10102', '10103', '10104', '10105', '10106', '10107', '10108', '10109', '10110', '10111', '10112', '10113', '10114', '10115', '10116', '10117', '10118', '10119', '10120', '10121', '10122', '10123', '10124', '10125', '10126', '10128', '10129', '10130', '10131', '10132', '10133', '10138', '10149', '10150', '10151', '10152', '10153', '10154', '10155', '10156', '10157', '10158', '10159', '10160', '10161', '10162', '10163', '10164', '10165', '10166', '10167', '10168', '10169', '10170', '10171', '10172', '10173', '10174', '10175', '10176', '10177', '10178', '10179', '10184', '10185', '10196', '10197', '10199', '10203', '10211', '10212', '10213', '10242', '10249', '10256', '10257', '10258', '10259', '10260', '10261', '10265', '10268', '10269', '10270', '10271', '10272', '10273', '10274', '10275', '10276', '10277', '10278', '10279', '10280', '10281', '10282', '10285', '10286', '10292']",0.007588256,0.000562411,0.879089647,0.122928027,0.120910353,0.145119331,37.6,0.118926678,0.555395373,71874.13873,0.258502328,16,761,11052,344283,New York-New York
1851,5e842d7ab07be20fa70e0220,7/1/19,2559903,Kings County,New York,"['11201', '11202', '11203', '11204', '11205', '11206', '11207', '11208', '11209', '11210', '11211', '11212', '11213', '11214', '11215', '11216', '11217', '11218', '11219', '11220', '11221', '11222', '11223', '11224', '11225', '11226', '11228', '11229', '11230', '11231', '11232', '11233', '11234', '11235', '11236', '11237', '11238', '11239', '11240', '11241', '11242', '11243', '11244', '11245', '11247', '11248', '11249', '11251', '11252', '11254', '11255', '11256', '11425']",0.00278764,0.000530426,0.846160869,0.116241487,0.153839131,0.320207292,35.4,0.087839308,0.435868021,36901.37313,0.190759748,13,318,6166,476741,Kings-New York
1830,5e842d7ab07be20fa70e020b,7/1/19,1418207,Bronx County,New York,"['10451', '10452', '10453', '10454', '10455', '10456', '10457', '10458', '10459', '10460', '10461', '10462', '10463', '10464', '10465', '10466', '10467', '10468', '10469', '10470', '10471', '10472', '10473', '10474', '10475', '10499']",0.006086729,0.001358115,0.75686078,0.038032109,0.24313922,0.355630626,34.4,0.330950639,0.224762801,33726.50427,0.563654747,7,270,3822,243010,Bronx-New York
1868,5e842d7ab07be20fa70e0231,7/1/19,2253858,Queens County,New York,"['11002', '11004', '11005', '11101', '11102', '11103', '11104', '11105', '11106', '11109', '11120', '11351', '11352', '11354', '11355', '11356', '11357', '11358', '11359', '11360', '11361', '11362', '11363', '11364', '11365', '11366', '11367', '11368', '11369', '11370', '11371', '11372', '11373', '11374', '11375', '11377', '11378', '11379', '11380', '11381', '11385', '11386', '11390', '11405', '11411', '11412', '11413', '11414', '11415', '11416', '11417', '11418', '11419', '11420', '11421', '11422', '11423', '11424', '11426', '11427', '11428', '11429', '11430', '11431', '11432', '11433', '11434', '11435', '11436', '11439', '11451', '11499', '11690', '11691', '11692', '11693', '11694', '11695', '11697']",0.004484169,0.000360699,0.909289994,0.258315613,0.090710006,0.184030846,39.2,0.142778596,0.372187357,20719.74125,0.28066625,7,129,3734,470619,Queens-New York
223,5e842d7ab07be20fa70dfbc4,7/1/19,881549,San Francisco County,California,"['94101', '94102', '94103', '94104', '94105', '94106', '94107', '94108', '94109', '94110', '94111', '94112', '94114', '94115', '94116', '94117', '94118', '94119', '94120', '94121', '94122', '94123', '94124', '94125', '94126', '94127', '94129', '94130', '94131', '94132', '94133', '94134', '94135', '94136', '94137', '94138', '94139', '94140', '94141', '94142', '94143', '94144', '94145', '94146', '94147', '94150', '94151', '94152', '94153', '94154', '94155', '94156', '94158', '94159', '94160', '94161', '94162', '94163', '94164', '94171', '94172', '94175', '94177', '94188', '94199']",0.002612914,0.00240687,0.948982048,0.342797788,0.051017952,0.051948081,38.3,0.081424876,0.453667759,18795.22351,0.152454701,12,337,4828,179193,San Francisco-California
1782,5e842d7ab07be20fa70e01db,7/1/19,672391,Hudson County,New Jersey,"['07002', '07029', '07030', '07032', '07047', '07086', '07087', '07093', '07094', '07096', '07097', '07099', '07302', '07303', '07304', '07305', '07306', '07307', '07308', '07309', '07310', '07311', '07395', '07399']",0.004449303,0,0.883792472,0.16044706,0.116207528,0.121505308,35.3,0.142098124,0.532051102,14555.93898,0.429041166,7,105,1878,109974,Hudson-New Jersey
1229,5e842d7ab07be20fa70dffb2,7/1/19,803907,Suffolk County,Massachusetts,"['02108', '02109', '02110', '02111', '02112', '02113', '02114', '02115', '02116', '02117', '02118', '02119', '02120', '02121', '02122', '02123', '02124', '02125', '02126', '02127', '02128', '02129', '02130', '02131', '02132', '02133', '02134', '02135', '02136', '02137', '02150', '02151', '02152', '02163', '02196', '02199', '02201', '02203', '02204', '02205', '02206', '02207', '02210', '02211', '02212', '02215', '02216', '02217', '02222', '02228', '02241', '02266', '02283', '02284', '02293', '02295', '02297', '02298']",0.003094449,0.000204397,0.881901251,0.088328056,0.118098749,0.21772755,32.9,0.070675576,0.549081328,13801.32086,0.233810508,15,447,6162,125537,Suffolk-Massachusetts
2294,5e842d7ab07be20fa70e03db,7/1/19,1584064,Philadelphia County,Pennsylvania,"['19019', '19092', '19093', '19099', '19101', '19102', '19103', '19104', '19105', '19106', '19107', '19108', '19109', '19110', '19111', '19112', '19114', '19115', '19116', '19118', '19119', '19120', '19121', '19122', '19123', '19124', '19125', '19126', '19127', '19128', '19129', '19130', '19131', '19132', '19133', '19134', '19135', '19136', '19137', '19138', '19139', '19140', '19141', '19142', '19143', '19144', '19145', '19146', '19147', '19148', '19149', '19150', '19151', '19152', '19153', '19154', '19155', '19160', '19161', '19162', '19170', '19171', '19172', '19173', '19175', '19176', '19177', '19178', '19179', '19181', '19182', '19183', '19184', '19185', '19187', '19188', '19190', '19191', '19192', '19193', '19194', '19195', '19196', '19197', '19244', '19255']",0.002730823,0.000367392,0.808305386,0.073798495,0.191694614,0.415213826,34.5,0.077353109,0.393578085,11796.78275,0.151671761,22,528,8387,287348,Philadelphia-Pennsylvania
319,5e842d7ab07be20fa70dfc24,7/1/19,705749,District of Columbia,District of Columbia,"['20001', '20002', '20003', '20004', '20005', '20006', '20007', '20008', '20009', '20010', '20011', '20012', '20013', '20015', '20016', '20017', '20018', '20019', '20020', '20022', '20023', '20024', '20026', '20027', '20029', '20030', '20032', '20033', '20035', '20036', '20037', '20038', '20039', '20040', '20041', '20042', '20043', '20044', '20045', '20046', '20047', '20049', '20050', '20051', '20052', '20053', '20055', '20056', '20057', '20058', '20059', '20060', '20061', '20062', '20063', '20064', '20065', '20066', '20067', '20068', '20069', '20070', '20071', '20073', '20074', '20075', '20076', '20077', '20078', '20080', '20081', '20082', '20088', '20090', '20091', '20097', '20098', '20201', '20202', '20203', '20204', '20206', '20207', '20208', '20210', '20211', '20212', '20213', '20214', '20215', '20216', '20217', '20218', '20219', '20220', '20221', '20222', '20223', '20224', '20226', '20227', '20228', '20229', '20230', '20232', '20233', '20235', '20237', '20238', '20239', '20240', '20241', '20242', '20244', '20245', '20250', '20251', '20254', '20260', '20261', '20262', '20265', '20266', '20268', '20270', '20277', '20289', '20299', '20301', '20303', '20306', '20307', '20310', '20314', '20317', '20318', '20319', '20330', '20340', '20350', '20355', '20370', '20372', '20373', '20374', '20375', '20376', '20380', '20388', '20389', '20390', '20391', '20392', '20393', '20394', '20395', '20398', '20401', '20402', '20403', '20404', '20405', '20406', '20407', '20408', '20409', '20410', '20411', '20412', '20413', '20414', '20415', '20416', '20418', '20419', '20420', '20421', '20422', '20423', '20424', '20425', '20426', '20427', '20428', '20429', '20431', '20433', '20434', '20435', '20436', '20437', '20439', '20440', '20441', '20442', '20444', '20447', '20451', '20453', '20456', '20460', '20463', '20468', '20469', '20470', '20472', '20500', '20501', '20502', '20503', '20504', '20505', '20506', '20507', '20508', '20509', '20510', '20511', '20515', '20520', '20521', '20522', '20523', '20524', '20525', '20526', '20527', '20528', '20529', '20530', '20531', '20532', '20533', '20534', '20535', '20536', '20537', '20538', '20539', '20540', '20541', '20542', '20543', '20544', '20546', '20547', '20548', '20549', '20551', '20552', '20553', '20554', '20555', '20557', '20558', '20559', '20560', '20565', '20566', '20570', '20571', '20572', '20573', '20575', '20576', '20577', '20578', '20579', '20580', '20581', '20585', '20586', '20590', '20591', '20593', '20594', '20597', '20599', '56901', '56902', '56904', '56915', '56920', '56933', '56944', '56945', '56950', '56965', '56972']",0.002750354,0.000565161,0.886767767,0.039202511,0.113232233,0.455227737,33.9,0.043984312,0.422442719,11543.99994,0.112817191,,,,,Columbia-Washington
2915,5e842d7ab07be20fa70e0648,7/1/19,159428,Alexandria city,Virginia,"['22301', '22302', '22304', '22305', '22311', '22314']",0,0.000510808,0.901071026,0.05662493,0.098928974,0.227801657,36.5,0.032236965,0.628679998,10675.36695,0.167488943,,,,,Alexandria-Virginia
2826,5e842d7ab07be20fa70e05ef,7/1/19,236842,Arlington County,Virginia,"['22201', '22202', '22203', '22204', '22205', '22206', '22207', '22209', '22210', '22211', '22212', '22213', '22214', '22215', '22216', '22217', '22218', '22219', '22222', '22223', '22225', '22226', '22227', '22229', '22230', '22234', '22240', '22241', '22242', '22243', '22244', '22245', '22246']",0.005645817,0.00301868,0.959921384,0.097359812,0.040078616,0.089865738,34.7,0.055868744,0.698464557,9110.213712,0.157906038,2,32,334,32701,Arlington-Virginia
1870,5e842d7ab07be20fa70e0233,7/1/19,476143,Richmond County,New York,"['10301', '10302', '10303', '10304', '10305', '10306', '10307', '10308', '10309', '10310', '10311', '10312', '10313', '10314']",0.000947123,0.00041371,0.911171713,0.102301865,0.088828287,0.098908184,40.1,0.041263894,0.730788212,8277.825491,0.186669299,3,114,1187,101941,Richmond-New York
1216,5e842d7ab07be20fa70dffa5,7/1/19,593490,Baltimore city,Maryland,"['21201', '21202', '21205', '21206', '21210', '21211', '21212', '21213', '21214', '21215', '21216', '21217', '21218', '21223', '21224', '21225', '21229', '21230', '21231', '21239', '21251']",0.002655624,0.000101246,0.86126065,0.025709757,0.13873935,0.616874829,35.5,0.022146242,0.304195056,7331.86199,0.054873484,,,,,Baltimore-Maryland
2925,5e842d7ab07be20fa70e0652,7/1/19,14617,Falls Church city,Virginia,['22046'],,,,,,,,,,7142.638344,,,,,,Falls Church-Virginia
2935,5e842d7ab07be20fa70e065c,7/1/19,17478,Manassas Park city,Virginia,[],,,,,,,,,,6923.039553,,,,,,Manassas Park-Virginia
1780,5e842d7ab07be20fa70e01d9,7/1/19,798975,Essex County,New Jersey,"['07003', '07004', '07006', '07007', '07009', '07017', '07018', '07019', '07021', '07028', '07039', '07040', '07041', '07042', '07043', '07044', '07050', '07051', '07052', '07068', '07078', '07079', '07101', '07102', '07103', '07104', '07105', '07106', '07107', '07108', '07109', '07110', '07111', '07112', '07114', '07175', '07182', '07184', '07188', '07189', '07191', '07192', '07193', '07194', '07195', '07198', '07199']",0.001345392,0.00037636,0.877682664,0.055574936,0.122317336,0.398684867,37.8,0.110407156,0.409839366,6336.819561,0.235466079,8,267,4447,146732,Essex-New Jersey
610,5e842d7ab07be20fa70dfd47,7/1/19,5150233,Cook County,Illinois,"['60004', '60005', '60006', '60007', '60008', '60009', '60011', '60016', '60017', '60018', '60019', '60022', '60025', '60026', '60029', '60038', '60043', '60053', '60055', '60056', '60062', '60065', '60067', '60068', '60070', '60074', '60076', '60077', '60078', '60082', '60090', '60091', '60093', '60094', '60095', '60104', '60107', '60130', '60131', '60133', '60141', '60153', '60154', '60155', '60159', '60160', '60161', '60162', '60163', '60164', '60165', '60168', '60169', '60171', '60173', '60176', '60179', '60192', '60193', '60194', '60195', '60196', '60201', '60202', '60203', '60204', '60208', '60209', '60290', '60301', '60302', '60303', '60304', '60305', '60402', '60406', '60409', '60411', '60412', '60415', '60418', '60419', '60422', '60425', '60426', '60428', '60429', '60430', '60438', '60439', '60443', '60445', '60452', '60453', '60454', '60455', '60456', '60457', '60458', '60459', '60461', '60462', '60463', '60464', '60465', '60466', '60467', '60469', '60471', '60472', '60473', '60476', '60477', '60478', '60480', '60482', '60487', '60499', '60501', '60513', '60525', '60526', '60534', '60546', '60558', '60601', '60602', '60603', '60604', '60605', '60606', '60607', '60608', '60609', '60610', '60611', '60612', '60613', '60614', '60615', '60616', '60617', '60618', '60619', '60620', '60621', '60622', '60623', '60624', '60625', '60626', '60628', '60629', '60630', '60631', '60632', '60633', '60634', '60636', '60637', '60638', '60639', '60640', '60641', '60642', '60643', '60644', '60645', '60646', '60647', '60649', '60651', '60652', '60653', '60654', '60655', '60656', '60657', '60659', '60660', '60661', '60663', '60664', '60666', '60668', '60669', '60670', '60673', '60674', '60675', '60677', '60678', '60679', '60680', '60681', '60682', '60684', '60685', '60686', '60687', '60688', '60689', '60690', '60691', '60693', '60694', '60695', '60696', '60697', '60699', '60701', '60706', '60707', '60712', '60714', '60803', '60804', '60805', '60827']",0.002819037,0.000438182,0.898446248,0.075191685,0.101553752,0.232528642,37,0.090269594,0.572153461,5450.38436,0.255384381,58,1606,18259,1005046,Cook-Illinois
1793,5e842d7ab07be20fa70e01e6,7/1/19,556341,Union County,New Jersey,"['07016', '07023', '07027', '07033', '07036', '07060', '07061', '07062', '07063', '07065', '07066', '07076', '07081', '07083', '07088', '07090', '07091', '07092', '07201', '07202', '07203', '07204', '07205', '07206', '07207', '07208', '07901', '07902', '07922', '07974']",0.006606734,0,0.947430695,0.055715532,0.052569305,0.213933094,38.8,0.168098096,0.531074226,5413.651262,0.323330353,5,80,1521,106249,Union-New Jersey
1597,5e842d7ab07be20fa70e0122,7/1/19,300576,St. Louis city,Missouri,"['63101', '63102', '63103', '63104', '63106', '63107', '63108', '63109', '63110', '63111', '63112', '63113', '63115', '63116', '63118', '63120', '63139', '63147', '63155']",0.002261935,0.001426505,0.83048248,0.035920195,0.16951752,0.453721131,36.4,0.008909054,0.471040622,4868.134093,0.041305913,,,,,St. Louis-Missouri
1857,5e842d7ab07be20fa70e0226,7/1/19,1356924,Nassau County,New York,"['11001', '11003', '11010', '11020', '11021', '11022', '11023', '11024', '11025', '11026', '11027', '11030', '11040', '11041', '11042', '11043', '11044', '11050', '11051', '11052', '11053', '11054', '11055', '11096', '11099', '11501', '11507', '11509', '11510', '11514', '11516', '11518', '11520', '11530', '11531', '11535', '11536', '11542', '11545', '11547', '11548', '11549', '11550', '11551', '11552', '11553', '11554', '11555', '11556', '11557', '11558', '11559', '11560', '11561', '11563', '11565', '11566', '11568', '11569', '11570', '11571', '11572', '11575', '11576', '11577', '11579', '11580', '11581', '11582', '11590', '11592', '11594', '11595', '11596', '11597', '11598', '11599', '11709', '11710', '11714', '11732', '11735', '11736', '11737', '11753', '11756', '11758', '11762', '11765', '11771', '11773', '11774', '11783', '11791', '11793', '11797', '11801', '11802', '11803', '11804', '11815', '11819', '11853', '11854', '11855']",0.004581317,0.000804657,0.958583823,0.099907755,0.041416177,0.119443322,41.7,0.071791882,0.676305616,4767.276818,0.17231362,10,461,4343,318040,Nassau-New York