STATE,COUNTY,BEDS
Iowa,FREMONT COUNTY,25
Iowa,GREENE COUNTY,25
Iowa,GRUNDY COUNTY,80
Iowa,GUTHRIE COUNTY,25
Iowa,HAMILTON COUNTY,25
Iowa,HANCOCK COUNTY,25
Iowa,HARDIN COUNTY,58
Iowa,HARRISON COUNTY,25
Iowa,HENRY COUNTY,152
Iowa,HOWARD COUNTY,19
Iowa,HUMBOLDT COUNTY,49
Iowa,IDA COUNTY,25
Iowa,IOWA COUNTY,25
Iowa,JACKSON COUNTY,25
Iowa,JASPER COUNTY,68
Iowa,JEFFERSON COUNTY,25
Iowa,JOHNSON COUNTY,1383
Iowa,JONES COUNTY,60
Iowa,KEOKUK COUNTY,25
Iowa,KOSSUTH COUNTY,25
Iowa,LEE COUNTY,121
Iowa,LINN COUNTY,1018
Iowa,LUCAS COUNTY,25
Iowa,LYON COUNTY,25
Iowa,MADISON COUNTY,25
Iowa,MAHASKA COUNTY,33
Iowa,MARION COUNTY,50
Iowa,MARSHALL COUNTY,125
Iowa,MILLS COUNTY,851
Iowa,MITCHELL COUNTY,25
Iowa,MONONA COUNTY,25
Iowa,MONROE COUNTY,25
Iowa,MONTGOMERY COUNTY,25
Iowa,MUSCATINE COUNTY,48
Iowa,O'BRIEN COUNTY,50
Iowa,OSCEOLA COUNTY,25
Iowa,PAGE COUNTY,110
Iowa,PALO ALTO COUNTY,47
Iowa,PLYMOUTH COUNTY,25
Iowa,POCAHONTAS COUNTY,25
Iowa,POLK COUNTY,1820
Iowa,POTTAWATTAMIE COUNTY,514
Iowa,POWESHIEK COUNTY,49
Iowa,RINGGOLD COUNTY,32
Iowa,SAC COUNTY,25
Iowa,SCOTT COUNTY,1193
Iowa,SHELBY COUNTY,25
Iowa,SIOUX COUNTY,290
Iowa,STORY COUNTY,279
Iowa,UNION COUNTY,25
Iowa,VAN BUREN COUNTY,25
Iowa,WAPELLO COUNTY,217
Iowa,WASHINGTON COUNTY,25
Iowa,WAYNE COUNTY,25
Iowa,WEBSTER COUNTY,200
Iowa,WINNESHIEK COUNTY,25
Iowa,WOODBURY COUNTY,830
Iowa,WRIGHT COUNTY,47
Kansas,ALLEN COUNTY,25
Kansas,ANDERSON COUNTY,41
Kansas,ATCHISON COUNTY,25
Kansas,BARBER COUNTY,93
Kansas,BARTON COUNTY,81
Kansas,BOURBON COUNTY,61
Kansas,BROWN COUNTY,50
Kansas,BUTLER COUNTY,126
Kansas,CHAUTAUQUA COUNTY,25
Kansas,CHEROKEE COUNTY,54
Kansas,CHEYENNE COUNTY,16
Kansas,CLARK COUNTY,99
Kansas,CLAY COUNTY,25
Kansas,CLOUD COUNTY,25
Kansas,COFFEY COUNTY,78
Kansas,COMANCHE COUNTY,12
Kansas,COWLEY COUNTY,62
Kansas,CRAWFORD COUNTY,146
Kansas,DECATUR COUNTY,61
Kansas,DICKINSON COUNTY,137
Kansas,DOUGLAS COUNTY,152
Kansas,EDWARDS COUNTY,22
Kansas,ELLIS COUNTY,172
Kansas,ELLSWORTH COUNTY,25
Kansas,FINNEY COUNTY,132
Kansas,FORD COUNTY,99
Kansas,FRANKLIN COUNTY,44
Kansas,GEARY COUNTY,92
Kansas,GOVE COUNTY,70
Kansas,GRAHAM COUNTY,25
Kansas,GRANT COUNTY,26
Kansas,GREELEY COUNTY,50
Kansas,GREENWOOD COUNTY,25
Kansas,HAMILTON COUNTY,69
Kansas,HARPER COUNTY,50
Kansas,HARVEY COUNTY,141
Kansas,HASKELL COUNTY,13
Kansas,HODGEMAN COUNTY,38
Kansas,JACKSON COUNTY,12
Kansas,JEFFERSON COUNTY,74
Kansas,JEWELL COUNTY,25
Kansas,JOHNSON COUNTY,1611
Kansas,KEARNY COUNTY,25
Kansas,KINGMAN COUNTY,25
Kansas,KIOWA COUNTY,15
Kansas,LABETTE COUNTY,67
Kansas,LANE COUNTY,17
Kansas,LEAVENWORTH COUNTY,130
Kansas,LINCOLN COUNTY,14
Kansas,LOGAN COUNTY,71
Kansas,LYON COUNTY,59
Kansas,MARION COUNTY,52
Kansas,MARSHALL COUNTY,25
Kansas,MCPHERSON COUNTY,87
Kansas,MEADE COUNTY,20
Kansas,MIAMI COUNTY,194
Kansas,MITCHELL COUNTY,75
Kansas,MONTGOMERY COUNTY,128
Kansas,MORRIS COUNTY,25
Kansas,MORTON COUNTY,120
Kansas,NEMAHA COUNTY,49
Kansas,NEOSHO COUNTY,25
Kansas,NESS COUNTY,109
Kansas,NORTON COUNTY,25
Kansas,OSBORNE COUNTY,25
Kansas,OTTAWA COUNTY,42
Kansas,PAWNEE COUNTY,638
Kansas,PHILLIPS COUNTY,25
Kansas,POTTAWATOMIE COUNTY,177
Kansas,PRATT COUNTY,85
Kansas,RAWLINS COUNTY,24
Kansas,RENO COUNTY,223
Kansas,REPUBLIC COUNTY,63
Kansas,RICE COUNTY,25
Kansas,RILEY COUNTY,109
Kansas,ROOKS COUNTY,20
Kansas,RUSH COUNTY,36
Kansas,RUSSELL COUNTY,46
Kansas,SALINE COUNTY,214
Kansas,SCOTT COUNTY,50
Kansas,SEDGWICK COUNTY,1140
Kansas,SEWARD COUNTY,101
Kansas,SHAWNEE COUNTY,768
Kansas,SHERIDAN COUNTY,53
Kansas,SHERMAN COUNTY,25
Kansas,SMITH COUNTY,53
Kansas,STAFFORD COUNTY,25
Kansas,STANTON COUNTY,34
Kansas,STEVENS COUNTY,100
Kansas,SUMNER COUNTY,76
Kansas,THOMAS COUNTY,88
Kansas,TREGO COUNTY,62
Kansas,WASHINGTON COUNTY,50
Kansas,WICHITA COUNTY,37
Kansas,WILSON COUNTY,49
Kansas,WYANDOTTE COUNTY,1232
Kentucky,ADAIR COUNTY,77
Kentucky,ALLEN COUNTY,25
Kentucky,BARREN COUNTY,180
Kentucky,BELL COUNTY,216
Kentucky,BOONE COUNTY,201
Kentucky,BOURBON COUNTY,58
Kentucky,BOYD COUNTY,455
Kentucky,BOYLE COUNTY,222
Kentucky,BREATHITT COUNTY,55
Kentucky,BRECKINRIDGE COUNTY,25
Kentucky,CALDWELL COUNTY,25
Kentucky,CALLOWAY COUNTY,152
Kentucky,CAMPBELL COUNTY,284
Kentucky,CARROLL COUNTY,25
Kentucky,CASEY COUNTY,15
Kentucky,CHRISTIAN COUNTY,786
Kentucky,CLARK COUNTY,54
Kentucky,CLAY COUNTY,63
Kentucky,CLINTON COUNTY,42
Kentucky,CRITTENDEN COUNTY,48
Kentucky,CUMBERLAND COUNTY,25
Kentucky,DAVIESS COUNTY,527
Kentucky,ESTILL COUNTY,25
Kentucky,FAYETTE COUNTY,2379
Kentucky,FLEMING COUNTY,52
Kentucky,FLOYD COUNTY,251
Kentucky,FRANKLIN COUNTY,173
Kentucky,FULTON COUNTY,70
Kentucky,GARRARD COUNTY,15
Kentucky,GRANT COUNTY,25
Kentucky,GRAVES COUNTY,107
Kentucky,GRAYSON COUNTY,75
Kentucky,GREEN COUNTY,35
Kentucky,GREENUP COUNTY,190
Kentucky,HARDIN COUNTY,465
Kentucky,HARLAN COUNTY,150
Kentucky,HARRISON COUNTY,61
Kentucky,HART COUNTY,25
Kentucky,HENDERSON COUNTY,192
Kentucky,HOPKINS COUNTY,390
Kentucky,JEFFERSON COUNTY,4795
Kentucky,JOHNSON COUNTY,72
Kentucky,KENTON COUNTY,728
Kentucky,KNOX COUNTY,25
Kentucky,LAUREL COUNTY,150
Kentucky,LAWRENCE COUNTY,90
Kentucky,LESLIE COUNTY,25
Kentucky,LETCHER COUNTY,90
Kentucky,LINCOLN COUNTY,25
Kentucky,LIVINGSTON COUNTY,25
Kentucky,LOGAN COUNTY,75
Kentucky,MADISON COUNTY,130
Kentucky,MARION COUNTY,75
Kentucky,MARSHALL COUNTY,25
Kentucky,MASON COUNTY,100
Kentucky,MCCRACKEN COUNTY,708
Kentucky,MERCER COUNTY,25
Kentucky,MONROE COUNTY,49
Kentucky,MONTGOMERY COUNTY,42
Kentucky,MORGAN COUNTY,25
Kentucky,MUHLENBERG COUNTY,90
Kentucky,NELSON COUNTY,40
Kentucky,NICHOLAS COUNTY,18
Kentucky,OHIO COUNTY,25
Kentucky,OLDHAM COUNTY,187
Kentucky,OWEN COUNTY,25
Kentucky,PERRY COUNTY,358
Kentucky,PIKE COUNTY,374
Kentucky,PULASKI COUNTY,295
Kentucky,ROCKCASTLE COUNTY,26
Kentucky,ROWAN COUNTY,149
Kentucky,RUSSELL COUNTY,25
Kentucky,SCOTT COUNTY,75
Kentucky,SHELBY COUNTY,70
Kentucky,SIMPSON COUNTY,25
Kentucky,TAYLOR COUNTY,90
Kentucky,TRIGG COUNTY,25
Kentucky,UNION COUNTY,25
Kentucky,WARREN COUNTY,733
Kentucky,WAYNE COUNTY,25
Kentucky,WHITLEY COUNTY,273
Kentucky,WOODFORD COUNTY,25
Louisiana,ACADIA COUNTY,59
Louisiana,ALLEN COUNTY,76
Louisiana,ASCENSION COUNTY,125
Louisiana,ASSUMPTION COUNTY,6
Louisiana,AVOYELLES COUNTY,55
Louisiana,BEAUREGARD COUNTY,80
Louisiana,BIENVILLE COUNTY,21
Louisiana,BOSSIER COUNTY,404
Louisiana,CADDO COUNTY,2328
Louisiana,CALCASIEU COUNTY,788
Louisiana,CALDWELL COUNTY,65
Louisiana,CAMERON COUNTY,49
Louisiana,CLAIBORNE COUNTY,0
Louisiana,CONCORDIA COUNTY,65
Louisiana,DE SOTO COUNTY,0
Louisiana,EAST BATON ROUGE COUNTY,2733
Louisiana,EAST CARROLL COUNTY,11
Louisiana,EAST FELICIANA COUNTY,506
Louisiana,EVANGELINE COUNTY,250
Louisiana,FRANKLIN COUNTY,43
Louisiana,IBERIA COUNTY,211
Louisiana,IBERVILLE COUNTY,0
Louisiana,JACKSON COUNTY,25
Louisiana,JEFFERSON COUNTY,1628
Louisiana,JEFFERSON DAVIS COUNTY,96
Louisiana,LA SALLE COUNTY,84
Louisiana,LAFAYETTE COUNTY,1120
Louisiana,LAFOURCHE COUNTY,203
Louisiana,LINCOLN COUNTY,159
Louisiana,LIVINGSTON COUNTY,59
Louisiana,MADISON COUNTY,25
Louisiana,MOREHOUSE COUNTY,82
Louisiana,NATCHITOCHES COUNTY,208
Louisiana,ORLEANS COUNTY,1671
Louisiana,OUACHITA COUNTY,679
Louisiana,POINTE COUPEE COUNTY,25
Louisiana,RAPIDES COUNTY,966
Louisiana,RED RIVER COUNTY,37
Louisiana,RICHLAND COUNTY,56
Louisiana,SABINE COUNTY,44
Louisiana,SAINT BERNARD COUNTY,0
Louisiana,ST. BERNARD COUNTY,0
Louisiana,ST. CHARLES COUNTY,59
Louisiana,ST. HELENA COUNTY,25
Louisiana,ST. JAMES COUNTY,20
Louisiana,ST. JOHN THE BAPTIST COUNTY,62
Louisiana,ST. LANDRY COUNTY,605
Louisiana,ST. MARTIN COUNTY,25
Louisiana,ST. MARY COUNTY,187
Louisiana,ST. TAMMANY COUNTY,946
Louisiana,TANGIPAHOA COUNTY,424
Louisiana,TERREBONNE COUNTY,367
Louisiana,UNION COUNTY,54
Louisiana,VERMILION COUNTY,95
Louisiana,VERNON COUNTY,119
Louisiana,WASHINGTON COUNTY,45
Louisiana,WEBSTER COUNTY,196
Louisiana,WEST CARROLL COUNTY,21
Louisiana,WEST FELICIANA COUNTY,22
Louisiana,WINN COUNTY,99
Maine,ANDROSCOGGIN COUNTY,483
Maine,AROOSTOOK COUNTY,256
Maine,CUMBERLAND COUNTY,1269
Maine,FRANKLIN COUNTY,65
Maine,HANCOCK COUNTY,114
Maine,KENNEBEC COUNTY,773
Maine,KNOX COUNTY,109
Maine,LINCOLN COUNTY,84
Maine,OXFORD COUNTY,75
Maine,PENOBSCOT COUNTY,773
Maine,PISCATAQUIS COUNTY,50
Maine,SOMERSET COUNTY,50
Maine,WALDO COUNTY,25
Maine,WASHINGTON COUNTY,50
Maine,YORK COUNTY,294
Maryland,ALLEGANY COUNTY,451
Maryland,ANNE ARUNDEL COUNTY,673
Maryland,BALTIMORE CITY COUNTY,4613
Maryland,BALTIMORE COUNTY,1983
Maryland,CALVERT COUNTY,76
Maryland,CARROLL COUNTY,409
Maryland,CECIL COUNTY,122
Maryland,CHARLES COUNTY,89
Maryland,DORCHESTER COUNTY,409
Maryland,FREDERICK COUNTY,308
Maryland,GARRETT COUNTY,55
Maryland,HARFORD COUNTY,255
Maryland,HOWARD COUNTY,581
Maryland,KENT COUNTY,26
Maryland,MONTGOMERY COUNTY,1492
Maryland,PRINCE GEORGE'S COUNTY,866
Maryland,SOMERSET COUNTY,89
Maryland,ST. MARY'S COUNTY,95
Maryland,TALBOT COUNTY,132
Maryland,WASHINGTON COUNTY,372
Maryland,WICOMICO COUNTY,416
Maryland,WORCESTER COUNTY,45
Massachusetts,BARNSTABLE COUNTY,407
Massachusetts,BERKSHIRE COUNTY,359
Massachusetts,BRISTOL COUNTY,1399
Massachusetts,DUKES COUNTY,25
Massachusetts,ESSEX COUNTY,1443
Massachusetts,FRANKLIN COUNTY,89
Massachusetts,HAMPDEN COUNTY,1773
Massachusetts,HAMPSHIRE COUNTY,165
Massachusetts,MIDDLESEX COUNTY,4150
Massachusetts,NANTUCKET COUNTY,19
Massachusetts,NORFOLK COUNTY,1786
Massachusetts,PLYMOUTH COUNTY,872
Massachusetts,SUFFOLK COUNTY,6162
Massachusetts,WORCESTER COUNTY,2233
Michigan,ALGER COUNTY,11
Michigan,ALLEGAN COUNTY,68
Michigan,ALPENA COUNTY,124
Michigan,ARENAC COUNTY,25
Michigan,BARAGA COUNTY,15
Michigan,BARRY COUNTY,49
Michigan,BAY COUNTY,389
Michigan,BENZIE COUNTY,8
Michigan,BERRIEN COUNTY,512
Michigan,BRANCH COUNTY,96
Michigan,CALHOUN COUNTY,317
Michigan,CASS COUNTY,25
Michigan,CHARLEVOIX COUNTY,25
Michigan,CHIPPEWA COUNTY,82
Michigan,CLARE COUNTY,49
Michigan,CLINTON COUNTY,25
Michigan,CRAWFORD COUNTY,71
Michigan,DELTA COUNTY,25
Michigan,DICKINSON COUNTY,96
Michigan,EATON COUNTY,45
Michigan,EMMET COUNTY,178
Michigan,GENESEE COUNTY,1169
Michigan,GLADWIN COUNTY,25
Michigan,GOGEBIC COUNTY,25
Michigan,GRAND TRAVERSE COUNTY,377
Michigan,GRATIOT COUNTY,67
Michigan,HILLSDALE COUNTY,65
Michigan,HOUGHTON COUNTY,61
Michigan,HURON COUNTY,88
Michigan,INGHAM COUNTY,1123
Michigan,IONIA COUNTY,47
Michigan,IOSCO COUNTY,49
Michigan,IRON COUNTY,25
Michigan,ISABELLA COUNTY,118
Michigan,JACKSON COUNTY,389
Michigan,KALAMAZOO COUNTY,821
Michigan,KALKASKA COUNTY,8
Michigan,KENT COUNTY,1860
Michigan,LAPEER COUNTY,183
Michigan,LENAWEE COUNTY,113
Michigan,LIVINGSTON COUNTY,177
Michigan,LUCE COUNTY,25
Michigan,MACKINAC COUNTY,15
Michigan,MACOMB COUNTY,1322
Michigan,MANISTEE COUNTY,45
Michigan,MARQUETTE COUNTY,289
Michigan,MASON COUNTY,49
Michigan,MECOSTA COUNTY,69
Michigan,MIDLAND COUNTY,308
Michigan,MONROE COUNTY,217
Michigan,MONTCALM COUNTY,148
Michigan,MUSKEGON COUNTY,413
Michigan,NEWAYGO COUNTY,25
Michigan,OAKLAND COUNTY,4435
Michigan,OCEANA COUNTY,24
Michigan,OGEMAW COUNTY,88
Michigan,ONTONAGON COUNTY,25
Michigan,OSCEOLA COUNTY,25
Michigan,OTSEGO COUNTY,46
Michigan,OTTAWA COUNTY,311
Michigan,PRESQUE ISLE COUNTY,28
Michigan,SAGINAW COUNTY,968
Michigan,SANILAC COUNTY,65
Michigan,SCHOOLCRAFT COUNTY,37
Michigan,SHIAWASSEE COUNTY,107
Michigan,ST. CLAIR COUNTY,398
Michigan,ST. JOSEPH COUNTY,144
Michigan,TUSCOLA COUNTY,50
Michigan,VAN BUREN COUNTY,84
Michigan,WASHTENAW COUNTY,1719
Michigan,WAYNE COUNTY,6079
Michigan,WEXFORD COUNTY,49
Minnesota,AITKIN COUNTY,25
Minnesota,ANOKA COUNTY,546
Minnesota,BECKER COUNTY,87
Minnesota,BELTRAMI COUNTY,118
Minnesota,BIG STONE COUNTY,40
Minnesota,BLUE EARTH COUNTY,272
Minnesota,BROWN COUNTY,102
Minnesota,CARLTON COUNTY,61
Minnesota,CARVER COUNTY,109
Minnesota,CASS COUNTY,0
Minnesota,CHIPPEWA COUNTY,30
Minnesota,CHISAGO COUNTY,61
Minnesota,CLEARWATER COUNTY,25
Minnesota,COOK COUNTY,16
Minnesota,COTTONWOOD COUNTY,26
Minnesota,CROW WING COUNTY,212
Minnesota,DAKOTA COUNTY,259
Minnesota,DOUGLAS COUNTY,127
Minnesota,FARIBAULT COUNTY,43
Minnesota,FREEBORN COUNTY,159
Minnesota,GOODHUE COUNTY,104
Minnesota,GRANT COUNTY,30
Minnesota,HENNEPIN COUNTY,4668
Minnesota,HUBBARD COUNTY,50
Minnesota,ISANTI COUNTY,86
Minnesota,ITASCA COUNTY,106
Minnesota,JACKSON COUNTY,20
Minnesota,KANABEC COUNTY,49
Minnesota,KANDIYOHI COUNTY,136
Minnesota,KITTSON COUNTY,15
Minnesota,KOOCHICHING COUNTY,49
Minnesota,LAC QUI PARLE COUNTY,32
Minnesota,LAKE COUNTY,25
Minnesota,LAKE OF THE WOODS COUNTY,15
Minnesota,LE SUEUR COUNTY,15
Minnesota,LINCOLN COUNTY,44
Minnesota,LYON COUNTY,74
Minnesota,MAHNOMEN COUNTY,18
Minnesota,MARSHALL COUNTY,32
Minnesota,MARTIN COUNTY,57
Minnesota,MCLEOD COUNTY,115
Minnesota,MEEKER COUNTY,35
Minnesota,MILLE LACS COUNTY,28
Minnesota,MORRISON COUNTY,49
Minnesota,MOWER COUNTY,82
Minnesota,MURRAY COUNTY,25
Minnesota,NICOLLET COUNTY,17
Minnesota,NOBLES COUNTY,48
Minnesota,NORMAN COUNTY,14
Minnesota,OLMSTED COUNTY,2120
Minnesota,OTTER TAIL COUNTY,133
Minnesota,PENNINGTON COUNTY,35
Minnesota,PENNINTON COUNTY,26
Minnesota,PINE COUNTY,70
Minnesota,PIPESTONE COUNTY,44
Minnesota,POLK COUNTY,92
Minnesota,POPE COUNTY,34
Minnesota,RAMSEY COUNTY,1907
Minnesota,REDWOOD COUNTY,25
Minnesota,RENVILLE COUNTY,41
Minnesota,RICE COUNTY,49
Minnesota,ROCK COUNTY,28
Minnesota,ROSEAU COUNTY,25
Minnesota,SCOTT COUNTY,142
Minnesota,SHERBURNE COUNTY,54
Minnesota,SIBLEY COUNTY,20
Minnesota,ST. LOUIS COUNTY,1125
Minnesota,STEARNS COUNTY,588
Minnesota,STEELE COUNTY,43
Minnesota,STEVENS COUNTY,54
Minnesota,SWIFT COUNTY,46
Minnesota,TODD COUNTY,71
Minnesota,TRAVERSE COUNTY,25
Minnesota,WABASHA COUNTY,25
Minnesota,WADENA COUNTY,49
Minnesota,WASECA COUNTY,35
Minnesota,WASHINGTON COUNTY,183
Minnesota,WATONWAN COUNTY,50
Minnesota,WILKIN COUNTY,25
Minnesota,WINONA COUNTY,99
Minnesota,WRIGHT COUNTY,104
Minnesota,YELLOW MEDICINE COUNTY,55
Mississippi,ADAMS COUNTY,280
Mississippi,ALCORN COUNTY,200
Mississippi,ATTALA COUNTY,25
Mississippi,BOLIVAR COUNTY,165
Mississippi,CALHOUN COUNTY,25
Mississippi,CHICKASAW COUNTY,84
Mississippi,CHOCTAW COUNTY,50
Mississippi,CLAIBORNE COUNTY,32
Mississippi,CLARKE COUNTY,25
Mississippi,CLAY COUNTY,60
Mississippi,COAHOMA COUNTY,181
Mississippi,COPIAH COUNTY,50
Mississippi,COVINGTON COUNTY,35
Mississippi,DESOTO COUNTY,514
Mississippi,FORREST COUNTY,545
Mississippi,FRANKLIN COUNTY,25
Mississippi,GEORGE COUNTY,48
Mississippi,GREENE COUNTY,7
Mississippi,GRENADA COUNTY,156
Mississippi,HANCOCK COUNTY,102
Mississippi,HARRISON COUNTY,867
Mississippi,HINDS COUNTY,2463
Mississippi,HOLMES COUNTY,25
Mississippi,HUMPHREYS COUNTY,34
Mississippi,JACKSON COUNTY,571
Mississippi,JASPER COUNTY,16
Mississippi,JEFFERSON COUNTY,30
Mississippi,JEFFERSON DAVIS COUNTY,35
Mississippi,JONES COUNTY,285
Mississippi,KEMPER COUNTY,25
Mississippi,LAFAYETTE COUNTY,217
Mississippi,LAMAR COUNTY,261
Mississippi,LAUDERDALE COUNTY,988
Mississippi,LAWRENCE COUNTY,25
Mississippi,LEAKE COUNTY,25
Mississippi,LEE COUNTY,700
Mississippi,LEFLORE COUNTY,248
Mississippi,LINCOLN COUNTY,99
Mississippi,LOWNDES COUNTY,315
Mississippi,MADISON COUNTY,134
Mississippi,MARION COUNTY,49
Mississippi,MARSHALL COUNTY,40
Mississippi,MONROE COUNTY,130
Mississippi,MONTGOMERY COUNTY,44
Mississippi,NESHOBA COUNTY,48
Mississippi,NEWTON COUNTY,55
Mississippi,NOXUBEE COUNTY,25
Mississippi,OKTIBBEHA COUNTY,96
Mississippi,PANOLA COUNTY,112
Mississippi,PEARL RIVER COUNTY,179
Mississippi,PERRY COUNTY,22
Mississippi,PIKE COUNTY,197
Mississippi,PONTOTOC COUNTY,25
Mississippi,PRENTISS COUNTY,114
Mississippi,QUITMAN COUNTY,33
Mississippi,RANKIN COUNTY,2081
Mississippi,SCOTT COUNTY,60
Mississippi,SHARKEY COUNTY,29
Mississippi,SIMPSON COUNTY,99
Mississippi,SMITH COUNTY,29
Mississippi,STONE COUNTY,25
Mississippi,SUNFLOWER COUNTY,140
Mississippi,TALLAHATCHIE COUNTY,18
Mississippi,TATE COUNTY,76
Mississippi,TIPPAH COUNTY,25
Mississippi,TISHOMINGO COUNTY,48
Mississippi,UNION COUNTY,153
Mississippi,WALTHALL COUNTY,25
Mississippi,WARREN COUNTY,396
Mississippi,WASHINGTON COUNTY,363
Mississippi,WAYNE COUNTY,80
Mississippi,WEBSTER COUNTY,38
Mississippi,WILKINSON COUNTY,50
Mississippi,WINSTON COUNTY,93
Mississippi,YALOBUSHA COUNTY,26
Mississippi,YAZOO COUNTY,25
Missouri,ADAIR COUNTY,93
Missouri,ATCHISON COUNTY,18
Missouri,AUDRAIN COUNTY,88
Missouri,BARRY COUNTY,43
Missouri,BARTON COUNTY,25
Missouri,BATES COUNTY,60
Missouri,BOONE COUNTY,620
Missouri,BUCHANAN COUNTY,393
Missouri,BUTLER COUNTY,142
Missouri,CALLAWAY COUNTY,37
Missouri,CAMDEN COUNTY,130
Missouri,CAPE GIRARDEAU COUNTY,601
Missouri,CARROLL COUNTY,25
Missouri,CASS COUNTY,106
Missouri,CEDAR COUNTY,41
Missouri,CLAY COUNTY,905
Missouri,CLINTON COUNTY,58
Missouri,COLE COUNTY,402
Missouri,COOPER COUNTY,70
Missouri,CRAWFORD COUNTY,35
Missouri,DENT COUNTY,55
Missouri,DUNKLIN COUNTY,116
Missouri,FRANKLIN COUNTY,148
Missouri,GASCONADE COUNTY,24
Missouri,GENTRY COUNTY,35
Missouri,GREENE COUNTY,1402
Missouri,GRUNDY COUNTY,25
Missouri,HARRISON COUNTY,19
Missouri,HENRY COUNTY,97
Missouri,HOWELL COUNTY,139
Missouri,IRON COUNTY,15
Missouri,JACKSON COUNTY,4101
Missouri,JASPER COUNTY,366
Missouri,JEFFERSON COUNTY,251
Missouri,JOHNSON COUNTY,75
Missouri,LACLEDE COUNTY,58
Missouri,LAFAYETTE COUNTY,32
Missouri,LAWRENCE COUNTY,132
Missouri,LINCOLN COUNTY,25
Missouri,LINN COUNTY,54
Missouri,LIVINGSTON COUNTY,50
Missouri,MACON COUNTY,25
Missouri,MADISON COUNTY,144
Missouri,MARION COUNTY,99
Missouri,NEWTON COUNTY,463
Missouri,NODAWAY COUNTY,81
Missouri,PEMISCOT COUNTY,167
Missouri,PERRY COUNTY,25
Missouri,PETTIS COUNTY,145
Missouri,PHELPS COUNTY,242
Missouri,PIKE COUNTY,25
Missouri,PLATTE COUNTY,97
Missouri,POLK COUNTY,86
Missouri,PULASKI COUNTY,0
Missouri,PUTNAM COUNTY,15
Missouri,RANDOLPH COUNTY,100
Missouri,RAY COUNTY,34
Missouri,REYNOLDS COUNTY,0
Missouri,RIPLEY COUNTY,21
Missouri,SALINE COUNTY,75
Missouri,SCOTLAND COUNTY,25
Missouri,SCOTT COUNTY,144
Missouri,ST. CHARLES COUNTY,852
Missouri,ST. CLAIR COUNTY,59
Missouri,ST. FRANCOIS COUNTY,231
Missouri,ST. LOUIS CITY COUNTY,4324
Missouri,ST. LOUIS COUNTY,4928
Missouri,STE. GENEVIEVE COUNTY,47
Missouri,STODDARD COUNTY,48
Missouri,SULLIVAN COUNTY,25
Missouri,TANEY COUNTY,157
Missouri,TEXAS COUNTY,66
Missouri,VERNON COUNTY,140
Missouri,WASHINGTON COUNTY,25
Montana,BEAVERHEAD COUNTY,25
